State,domain,name,verdict,llm_verdict,llm_reason,homepage_score,activity_status,activity_date,source,sitemap_url,sitemap_status,sitemap_type,latest_lastmod
ND,fosterconews.com,Foster County Independent Homepage,PASS,PASS,"Local newspaper covering Foster County, ND",65,active,12/29/2025,cse,https://www.fosterconews.com/sitemap_index.xml,200,sitemapindex,2025-12-29T00:00:00+00:00
ND,dakotastudent.com,"Driver, student die in Larimore bus crash – Dakota Student",PASS,PASS,University of North Dakota student newspaper covering local news,65,unknown,no_dates,cse,https://dakotastudent.com/wp-sitemap.xml,200,sitemapindex,2025-10-22T22:54:46+00:00
ND,chwha.org,Towner County Record Herald – CHWHA,PASS,PASS,"Towner County Record Herald - local newspaper covering Towner County, ND",65,active,12/30/2025,cse,https://chwha.org/sitemap.xml,200,sitemapindex,2025-12-31T03:29:34+00:00
ND,kfyr.com,KFYR-TV,PASS,PASS,Local TV station covering ND with original news content,65,active,12/31/2025,llm_discovery,https://kfyr.iheart.com/sitemap.xml?pname=kfyr.com&sc=dnsredirect,200,sitemapindex,2021-10-20T03:18:00+00:00
ND,kfyrtv.com,KFYR-TV/KMOT/ KUMV/KQCD | Bismarck-Minot-Williston-Dickinson,PASS,PASS,"Local TV news station covering Bismarck, Minot, Williston, Dickinson and ND",60,unknown,no_dates,cse,N/A,,,
ND,theborderlandpress.com,The Borderland Press,PASS,PASS,Local news publisher covering North Dakota communities,60,unknown,no_dates,cse,N/A,,,
ND,kmot.com,KMOT NBC,PASS,PASS,NBC TV station covering North Dakota,60,active,12/31/2025,llm_discovery,N/A,,,
ND,valleynewslive.com,"Valley News Live | News, Weather, and Sports | Fargo, ND",PASS,PASS,Local TV news station covering Fargo area with original reporting,55,unknown,no_dates,cse,N/A,,,
ND,kfgo.com,News | The Mighty 790 KFGO | KFGO,PASS,PASS,KFGO is a local news radio station in Fargo with original news content,55,active,12/31/2025,cse,https://kfgo.com/sitemap.xml,200,sitemapindex,2026-01-01T05:00:18+00:00
ND,inewz.tv,iNewZ.TV: Local News Reports From Minnesota and North Dakota,PASS,PASS,Local news outlet covering Minnesota and North Dakota with original reporting,55,active,12/31/2025,cse,https://inewz.tv/sitemap_index.xml,200,sitemapindex,2025-12-31T23:37:18+00:00
ND,thepiercecountytribune.com,"Contact Us | News, Sports, Jobs - The Pierce County Tribune",PASS,PASS,"Local newspaper covering Pierce County, ND with original news content",55,unknown,no_dates,cse,N/A,,,
ND,willistonherald.com,"North Dakota State Champions: West Fargo ""Rattlers"" - West Fargo ...",PASS,PASS,Local newspaper - Williston Herald covering ND news,55,unknown,no_dates,cse,https://willistonherald.com/sitemap.xml,200,sitemapindex,
ND,wahpetondailynews.com,Wahpeton Daily News,PASS,PASS,"Local newspaper covering Wahpeton, ND with original news content",55,unknown,no_dates,cse,https://wahpetondailynews.com/sitemap.xml,200,sitemapindex,
ND,grandforksherald.com,"Grand Forks Herald | News, weather & sports from Grand Forks and ...",PASS,PASS,Local newspaper covering Grand Forks and surrounding North Dakota area,45,active,12/31/2025,cse,https://www.grandforksherald.com/sitemap.xml,200,sitemapindex,2023-11-08T18:34:13+00:00
ND,devilslakend.com,Grand Forks Herald,PASS,PASS,Grand Forks Herald - local newspaper covering ND,45,active,12/31/2025,cse,https://www.devilslakend.com/sitemap.xml,200,urlset,2026-01-01T01:07:12+00:00
ND,agweek.com,"Kjelland cattle drive near Park River, North Dakota, brings together 3 ...",PASS,PASS,Agricultural news publication covering North Dakota region,45,active,12/31/2025,cse,https://www.agweek.com/sitemap.xml,200,sitemapindex,2018-02-02T16:06:27+00:00
ND,northernsentry.com,Northern Sentry,PASS,PASS,"Local news publication covering Minot, ND area",35,active,12/15/2025,cse,https://northernsentry.com/wp-sitemap.xml,200,sitemapindex,2025-12-27T17:36:08+00:00
ND,knoxradio.com,"KNOX News Radio, Local News, Weather and Sports",PASS,PASS,KNOX News Radio - local news radio station covering ND,30,active,12/31/2025,cse,https://knoxradio.com/sitemap.xml,200,sitemapindex,2026-01-01T05:00:20+00:00
ND,hpr1.com,"High Plains Reader, Fargo ND | Your Alternative Weekly Arts and ...",PASS,PASS,Local alternative weekly newspaper covering Fargo area arts and news,25,unknown,no_dates,cse,N/A,,,
ND,heraldpressnd.com,Herald-Press - Home,PASS,PASS,"Local newspaper serving Harvey, ND area",25,unknown,no_dates,cse,N/A,,,
ND,wdaytv.com,WDAY-TV ABC,PASS,PASS,Local TV station (ABC affiliate) covering ND area,25,unknown,no_dates,llm_discovery,N/A,,,
ND,newrockfordtranscript.com,New Rockford Transcript Homepage,PASS,PASS,"Local newspaper serving New Rockford, ND area",15,active,12/15/2025,cse,https://www.newrockfordtranscript.com/sitemap_index.xml,200,sitemapindex,2025-12-29T00:00:00+00:00
ND,kbmr.com,KBMR News,PASS,PASS,Local news radio station in North Dakota,15,active,12/31/2025,llm_discovery,https://kbmr.iheart.com/sitemap.xml?pname=kbmr.com&sc=dnsredirect,200,sitemapindex,2021-11-02T17:39:00+00:00
ND,watfordcitynd.com,McKenzie County Farmer - Home,PASS,PASS,McKenzie County Farmer appears to be a local newspaper with subscription option,10,unknown,no_dates,cse,N/A,,,
ND,nordaknorth.com,New Town News - NorDak North Publications,PASS,PASS,"Local news publisher serving New Town, ND area with original content",10,unknown,no_dates,cse,N/A,,,
ND,mountrailcountypromoter.com,Mountrail County Promoter - Home,PASS,PASS,"Local newspaper covering Mountrail County, ND",10,unknown,no_dates,cse,N/A,,,
ND,kxnet.com,KX News | Bismarck and Minot News & Weather | KX NEWS,PASS,PASS,"Local TV news station covering Bismarck, Minot and ND news",0,active,12/31/2025,cse,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T04:54:48+00:00
ND,rugbybroadcasters.com,Rugby Broadcasters | KZZJ AM and KKWZ FM| Rugby ND,PASS,PASS,"Local radio stations KZZJ AM and KKWZ FM in Rugby, ND - likely provides local news coverage",0,unknown,no_dates,cse,https://rugbybroadcasters.com/sitemap.xml,200,urlset,2025-12-31T00:00:00+00:00
ND,northdakotamonitor.com,Tardy federal school funding has North Dakota schools working on ...,PASS,PASS,Online news publication covering North Dakota state news,0,active,12/22/2025,cse,N/A,,,
ND,cavalierchronicle.com,Cavalier Chronicle e-Edition,PASS,PASS,"Local newspaper for Cavalier, ND area",0,unknown,no_dates,cse,N/A,,,
ND,myndnow.com,KFYR NBC,PASS,PASS,NBC TV station (KFYR) covering North Dakota,0,unknown,no_dates,llm_discovery,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T02:02:36+00:00
ND,knox.com,KNOX News/Talk,PASS,PASS,News/Talk radio station in North Dakota,0,unknown,no_dates,llm_discovery,N/A,,,
ND,khrt.com,KHRT News/Talk,PASS,PASS,News/Talk radio station in North Dakota,0,unknown,no_dates,llm_discovery,N/A,,,
ND,kqcdtv.com,KQCD-TV NBC,PASS,PASS,Local TV station (NBC affiliate) covering ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,kxmb.com,KXMB-TV CBS,PASS,PASS,Local TV station (CBS affiliate) covering ND,0,unknown,no_dates,llm_discovery,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T04:54:48+00:00
ND,mckenziecountyfarmernd.com,The McKenzie County Farmer,PASS,PASS,Local newspaper covering McKenzie County in ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,mykxmc.com,KXMC-TV (CBS),PASS,PASS,Local TV station (CBS affiliate) covering ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,walshnews.com,Walsh County Record,PASS,PASS,Local newspaper (Walsh County Record) covering ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,beulahbeacon.com,Beulah Beacon,PASS,PASS,"Local newspaper covering Beulah, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,bhgnews.com,BHG News,PASS,PASS,Local news publisher serving ND communities,0,unknown,no_dates,llm_discovery,N/A,,,
ND,mountrailcountynews.com,Mountrail County Record,PASS,PASS,"Local newspaper covering Mountrail County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,casscountynewsnow.com,Cass County News Now,PASS,PASS,"Local news site covering Cass County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,rugbyndnews.com,Pierce County Tribune,PASS,PASS,"Pierce County Tribune - local newspaper in Rugby, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,kxmc.com,KXMC-TV,PASS,PASS,KXMC-TV local television news station in ND,0,unknown,no_dates,llm_discovery,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T04:54:48+00:00
ND,kxmd.com,KXMD-TV,PASS,PASS,KXMD-TV local television news station in ND,0,unknown,no_dates,llm_discovery,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T04:54:48+00:00
ND,kxma.com,KXMA-TV,PASS,PASS,KXMA-TV local television news station in ND,0,unknown,no_dates,llm_discovery,https://www.kxnet.com/sitemap.xml,200,sitemapindex,2026-01-01T04:54:48+00:00
ND,co-node.com,Foster County Independent,PASS,PASS,"Foster County Independent - local newspaper for Foster County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,knox1310.com,KNOX 1310 AM,PASS,PASS,KNOX 1310 AM - local radio station likely with news content,0,unknown,no_dates,llm_discovery,N/A,,,
ND,bottineaucourant.com,Bottineau Courant,PASS,PASS,"Bottineau Courant - local newspaper for Bottineau, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,oakestimes.com,Oakes Times,PASS,PASS,"Oakes Times - local newspaper for Oakes, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,cavaliercountyextra.com,Cavalier County Extra,PASS,PASS,"Cavalier County Extra - local newspaper for Cavalier County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,wdaynews.com,WDAY-TV ABC,PASS,PASS,WDAY-TV ABC - local TV news station for ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,kqdj.com,KQDJ 1400 AM,PASS,PASS,KQDJ 1400 AM - local radio station likely with news content,0,unknown,no_dates,llm_discovery,N/A,,,
ND,prairie.org,Prairie Public Radio,PASS,PASS,Prairie Public Radio - public radio station serving ND with news content,0,unknown,no_dates,llm_discovery,N/A,,,
ND,bowmancountypioneer.com,Bowman County Pioneer,PASS,PASS,"Local newspaper covering Bowman County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,walshcountyrecord.com,Walsh County Record,PASS,PASS,"Local newspaper covering Walsh County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,mcleancountynews.com,McLean County Independent,PASS,PASS,"Local newspaper (McLean County Independent) covering McLean County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,cavaliercountyrepublican.com,Cavalier County Republican,PASS,PASS,"Local newspaper covering Cavalier County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,devilslakenews.com,Devils Lake News Journal,PASS,PASS,"Local newspaper (Devils Lake News Journal) covering Devils Lake, ND area",0,unknown,no_dates,llm_discovery,https://devilslakenews.com/sitemap.xml,200,urlset,
ND,turtlemountainstar.com,Turtle Mountain Star,PASS,PASS,Local newspaper covering Turtle Mountain area in ND,0,unknown,no_dates,llm_discovery,N/A,,,
ND,adamscountyrecord.com,Adams County Record,PASS,PASS,"Local newspaper covering Adams County, ND",0,unknown,no_dates,llm_discovery,N/A,,,
ND,thejournalnd.com,The Journal,PASS,PASS,Local newspaper The Journal covering North Dakota community news,0,unknown,no_dates,llm_discovery,N/A,,,
ND,renvillecountyfarmernews.com,Renville County Farmer,PASS,PASS,Local newspaper covering Renville County in North Dakota,0,unknown,no_dates,llm_discovery,N/A,,,
ND,mouselandmedia.com,Kenmare News,PASS,PASS,"Publisher of Kenmare News, a local newspaper in North Dakota",0,unknown,no_dates,llm_discovery,N/A,,,
ND,heraldpress.net,Harvey Herald-Press,PASS,PASS,"Harvey Herald-Press - local newspaper for Harvey, ND (RSS and bylines indicate news content)",-10,unknown,no_dates,llm_discovery,N/A,,,
ND,talkingtrail.com,"Kenmare, ND | Talking Trail",PASS,PASS,"Local news publication covering Kenmare, ND",-25,active,12/13/2025,cse,https://www.talkingtrail.com/sitemap.xml,200,sitemapindex,2025-12-13T00:00:00+00:00
ND,kenmarend.com,Kenmare News - Kenmare ND,PASS,PASS,"Local newspaper covering Kenmare, ND",-40,unknown,no_dates,cse,N/A,,,
ND,oakesnd.com,"Oakes Times | Oakes, North Dakota",PASS,PASS,"Local newspaper serving Oakes, North Dakota",-50,unknown,no_dates,cse,https://oakesnd.com/sitemap.xml,200,urlset,
ND,kvrr.com,"KVRR - Fargo, ND, Moorhead, MN, News, Weather & Sports",REVIEW,PASS,Local TV station KVRR covering Fargo-Moorhead with original news content,105,inactive,6/15/2018,cse,https://www.kvrr.com/sitemap_index.xml,200,sitemapindex,2017-09-22T02:40:16+00:00
ND,willistongraphic.com,"Williston Graphic | Your Source for Local Williston News, Events ...",REVIEW,PASS,"Local newspaper covering Williston, ND with original news content",85,inactive,1/15/2003,cse,N/A,,,
ND,devilslakejournal.com,No. 5 Devils Lake avenges last year's homecoming with win over ...,REVIEW,PASS,"Local newspaper covering Devils Lake, ND with original news content",85,inactive,5/15/2025,cse,https://www.devilslakejournal.com/wp-sitemap.xml,200,sitemapindex,2025-12-31T21:25:46+00:00
ND,newsdakota.com,Jamestown | News Dakota,REVIEW,PASS,"Local news publisher covering Jamestown, ND area",75,inactive,1/15/2016,cse,https://www.newsdakota.com/sitemap.xml,200,sitemapindex,2016-01-04T16:04:35+00:00
ND,keyaradio.com,K.E.Y.A. Public Radio – The Voice of the Turtle Mountains,REVIEW,PASS,Public radio station serving Turtle Mountains area in ND,55,inactive,11/15/2020,cse,N/A,,,
ND,wday.com,WDAY ABC,REVIEW,PASS,ABC TV station covering North Dakota,55,inactive,10/29/2025,llm_discovery,https://wday.com/sitemap.xml,200,sitemapindex,2017-08-18T14:47:02+00:00
ND,wdaz.com,WDAZ-TV ABC,REVIEW,PASS,"WDAZ-TV ABC - local TV news station with original content (RSS, bylines, recent dates)",55,inactive,10/15/2025,llm_discovery,https://wdaz.com/sitemap.xml,200,sitemapindex,2017-08-18T14:47:02+00:00
ND,local.times-online.com,Dakota Growers Pasta Company - Valley City Times-Record,REVIEW,PASS,Valley City Times-Record appears to be local newspaper covering Dakota area,20,inactive,12/7/2022,cse,N/A,,,
ND,foxweather.com,"Tioga, ND Weather Forecast | Local Weather Updates for North ...",DROP,FAIL,"Weather site, not local news publisher",125,unknown,no_dates,cse,https://www.foxweather.com/sitemap.xml,200,sitemapindex,2026-01-01T05:00:17+00:00
ND,kistlivestockauction.com,"Kist Livestock Auction Sales & Information - Mandan, ND",DROP,FAIL,"Livestock auction business, not a news publisher",115,active,12/22/2025,cse,https://kistlivestockauction.com/sitemap_index.xml,200,sitemapindex,2025-12-22T17:34:53+00:00
ND,bowmannd.com,The Edge – Bowman County Activity Complex - Bowman North Dakota,DROP,FAIL,Municipal/government activity complex site,115,active,12/29/2025,cse,https://bowmannd.com/sitemap.xml,200,sitemapindex,2025-12-31T20:53:39+00:00
ND,translink.ca,New RapidBus slashes travel times in Surrey and Delta | TransLink,DROP,FAIL,"Canadian transit authority website, not a news publisher",100,unknown,no_dates,cse,https://www.translink.ca/sitemap.xml,200,urlset,
ND,journalrecord.com,"Historical McGillic home found on Mandan, N.D., tour | The Journal ...",DROP,FAIL,"The Journal Record is an Oklahoma business publication, not ND local news",95,active,12/31/2025,cse,https://journalrecord.com/sitemap.xml,200,sitemapindex,2025-01-20T11:52:39+00:00
ND,mandanrodeo.com,Mandan Rodeo Days | PRCA Pro Rodeo | July 2-4,DROP,FAIL,"Rodeo event website, not a news publisher",95,active,11/5/2025,cse,https://mandanrodeo.com/sitemap.xml,200,sitemapindex,2025-11-05T19:25:17+00:00
ND,trftimes.com,"Teresa Marie Johnson, 39 | Thief River Falls Times & Northern ...",DROP,FAIL,Out-of-state publication (Thief River Falls is in Minnesota),95,active,12/31/2025,cse,https://trftimes.com/sitemap.xml,200,urlset,2025-12-31T16:17:46+00:00
ND,wctrib.com,"4 dead in New Town, N.D., shooting - West Central Tribune | News ...",DROP,FAIL,"West Central Tribune is based in Willmar, Minnesota - out-of-state publication",95,active,12/31/2025,cse,https://www.wctrib.com/sitemap.xml,200,sitemapindex,2025-10-29T00:00:00+00:00
ND,pinejournal.com,"Michael Joseph Jarski - Cloquet Pine Journal | News, weather ...",DROP,FAIL,"Pine Journal covers Cloquet, Minnesota - out-of-state publication",95,active,12/31/2025,cse,https://www.pinejournal.com/sitemap.xml,200,sitemapindex,2017-06-28T14:35:52+00:00
ND,greatplainstransport.com,Truck Driving Company | Great Plains Transport | Mapleton ND,DROP,FAIL,Transport/trucking company business,95,inactive,3/31/2025,cse,https://greatplainstransport.com/sitemap_index.xml,200,sitemapindex,2025-03-31T13:28:40+00:00
ND,delanoheraldjournal.com,Bernice M. Fenske Obituary – 4/14/09,DROP,FAIL,Out-of-state publication - Delano is in Minnesota,95,active,12/31/2025,cse,https://delanoheraldjournal.com/sitemap.xml,200,sitemapindex,2026-01-01T10:35:35+00:00
ND,jamestownparksandrec.com,Hillcrest Golf - Jamestown Parks and Recreation,DROP,FAIL,Municipal parks and recreation department website,85,active,12/30/2025,cse,https://jamestownparksandrec.com/sitemap.xml,200,sitemapindex,2025-12-30T18:36:49+00:00
ND,barnescounty.us,"Official Website of Barnes County, North Dakota -",DROP,FAIL,County government website,85,active,12/30/2025,cse,https://barnescounty.us/sitemap_index.xml,200,sitemapindex,2025-12-31T22:40:41+00:00
ND,ghostsofnorthdakota892857007.wordpress.com,"Lincoln Valley, ND | Ghosts of North Dakota",DROP,FAIL,Blog/personal site about abandoned places,85,active,11/10/2025,cse,https://ghostsofnorthdakota892857007.wordpress.com/sitemap.xml,200,urlset,2025-11-10T16:37:12+00:00
ND,visitgraftonnd.com,Grafton: Home,DROP,FAIL,Tourism/visitor bureau website,85,inactive,7/21/2025,cse,https://visitgraftonnd.com/sitemap.xml,200,sitemapindex,2025-12-17T02:04:41+00:00
ND,heritagefargo.com,Pine Cove at Cub Creek — Horace ND Homes,DROP,FAIL,"Real estate/housing development website, not a news publisher",85,active,12/31/2025,cse,https://heritagefargo.com/sitemap_index.xml,200,sitemapindex,2025-12-31T17:34:13+00:00
ND,grainjournal.com,"North Dakota Soybean Processors Opens in Casselton, ND",DROP,FAIL,"Trade/industry publication, not local community news",85,unknown,no_dates,cse,N/A,,,
ND,processingjournal.com,Soybean Crushing - Processing Journal,DROP,FAIL,"Trade publication focused on soybean processing industry, not local news",85,unknown,no_dates,cse,N/A,,,
ND,grandforks319fss.com,Aquatic Center | Grand Forks AFB FSS,DROP,FAIL,Military base services website (FSS = Force Support Squadron) - not a news publisher,85,inactive,9/26/2024,cse,https://grandforks319fss.com/sitemap.xml,200,urlset,2024-08-14T00:00:00+00:00
ND,cavaliernd.com,Moonlight Madness - Cavalier Chamber of Commerce,DROP,FAIL,Chamber of Commerce website,85,inactive,4/15/2022,cse,https://cavaliernd.com/sitemap.xml,200,sitemapindex,2025-12-17T02:09:38+00:00
ND,northlandsheds.com,"Storage Sheds For Sale In Grafton, ND",DROP,FAIL,Storage shed business,80,inactive,5/15/2025,cse,https://northlandsheds.com/sitemap_index.xml,200,sitemapindex,2025-12-12T21:09:43+00:00
ND,duluthnewstribune.com,Shooting leaves 4 dead on North Dakota reservation - Duluth News ...,DROP,FAIL,"Duluth News Tribune is based in Duluth, Minnesota - out-of-state publication",80,active,12/31/2025,cse,https://www.duluthnewstribune.com/sitemap.xml,200,sitemapindex,2022-06-26T17:09:59+00:00
ND,starionsportscomplex.com,Public Skating – Mandan Parks & Recreation,DROP,FAIL,Municipal sports complex/recreation facility website,75,unknown,no_dates,cse,N/A,,,
ND,harveynd.com,JDA Board Minutes - Harvey ND,DROP,FAIL,"Municipal/city government website for Harvey, ND",75,active,12/16/2025,cse,https://harveynd.com/sitemap_index.xml,200,sitemapindex,2025-12-16T16:13:51+00:00
ND,grandforks.org,"InternGF | Grand Forks EDC | Grand Forks, ND",DROP,FAIL,"Economic Development Corporation website, not a news publisher",70,active,12/19/2025,cse,https://grandforks.org/sitemap_index.xml,200,sitemapindex,2025-12-19T21:20:50+00:00
ND,willistonparks.com,Williston Municipal Golf Course - Williston Parks & Recreation District,DROP,FAIL,Municipal parks and recreation website,70,active,12/31/2025,cse,https://www.willistonparks.com/sitemap.xml,200,urlset,2026-01-01T00:00:00+00:00
ND,tmchippewa.com,Official Online Home of the Turtle Mountain Band of Chippewa Indians,DROP,FAIL,Tribal government website,70,active,12/30/2025,cse,https://tmchippewa.com/sitemap.xml,200,sitemapindex,2025-12-31T20:43:10+00:00
ND,collisionsolutionsnd.com,"Collision Solutions - Auto Body Shop Burlington, NDCollision ...",DROP,FAIL,Auto body shop business,70,inactive,10/8/2025,cse,https://collisionsolutionsnd.com/sitemap.xml,200,sitemapindex,2025-10-08T05:02:41+00:00
ND,bismarcksportshow.com,Bismarck Tribune Sport Show: Home,DROP,FAIL,"Event website for a sport show, not a news publisher",65,active,12/18/2025,cse,https://bismarcksportshow.com/sitemap_index.xml,200,sitemapindex,2025-12-18T14:34:16+00:00
ND,kingswalk.org,"King's Walk Golf Course | Grand Forks, ND",DROP,FAIL,Golf course website,65,active,11/14/2025,cse,https://www.kingswalk.org/sitemap_index.xml,200,sitemapindex,2025-11-03T16:05:39+00:00
ND,imagiconnd.com,Harry Potter Daily Prophet Newspaper Face Mask - Minot ND USA,DROP,FAIL,Business/retail website selling merchandise,65,active,11/21/2025,cse,https://imagiconnd.com/sitemap.xml,200,sitemapindex,2025-11-21T22:35:29+00:00
ND,prairieheights.com,"Prairie Heights Church » Welcome Home » West Fargo, ND",DROP,FAIL,Church website - Prairie Heights Church,65,active,12/31/2025,cse,https://prairieheights.com/sitemap.xml,200,sitemapindex,2025-12-31T21:16:08+00:00
ND,dickinsonparks.org,West River Ice Center – Dickinson Parks & Recreation,DROP,FAIL,Municipal parks and recreation department website,65,inactive,3/15/2020,cse,https://dickinsonparks.org/wp-sitemap.xml,200,sitemapindex,2025-12-31T22:54:31+00:00
ND,vcparks.com,Bjornson Park Golf Course | Valley City Parks and Recreation,DROP,FAIL,Parks and recreation department website,65,active,12/31/2025,cse,https://www.vcparks.com/sitemap.xml,200,sitemapindex,2025-12-31T00:00:00+00:00
ND,sober.com,"We Are Not Saints Group | AA Meeting in Watford City, ND",DROP,FAIL,AA meeting directory site,65,active,12/29/2025,cse,https://sober.com/sitemap_index.xml,200,sitemapindex,2025-12-29T15:24:59+00:00
ND,livability.com,"Minot AFB, ND - Livability.com",DROP,FAIL,National city guide/aggregator site,65,active,12/31/2025,cse,https://livability.com/sitemap_index.xml,200,sitemapindex,2025-12-31T16:01:18+00:00
ND,greatplainsfoodbank.org,Partner food pantries – GREAT PLAINS FOOD BANK,DROP,FAIL,Food bank organization website,65,inactive,8/15/2021,cse,https://greatplainsfoodbank.org/wp-sitemap.xml,200,sitemapindex,2025-12-31T20:08:22+00:00
